packet_id,latency_ms
1,41.476
2,41.677
3,41.451
4,41.536
5,41.698
6,41.424
7,41.665
8,41.207
9,41.622
10,41.24
11,41.733
12,41.787
13,41.773
14,41.722
15,41.599
16,41.799
17,41.388
18,41.541
19,41.717
20,41.521
21,41.692
22,41.233
23,41.516
24,41.8
25,41.395
26,41.265
27,41.679
28,41.631
29,41.758
30,41.409
31,41.532
32,41.668
33,41.573
34,41.425
35,41.448
36,41.358
37,41.713
38,41.291
39,41.786
40,41.742
41,41.392
42,41.631
43,41.44
44,41.779
45,41.611
46,41.491
47,41.649
48,41.795
49,41.791
50,41.29
51,41.611
52,41.286
53,41.56
54,41.332
55,41.535
56,41.727
57,41.337
58,41.391
59,41.338
60,41.672
61,41.415
62,41.299
63,41.732
64,41.751
65,41.593
66,41.413
67,41.717
68,41.348
69,41.516
70,41.589
71,41.361
72,41.642
73,41.615
74,41.54
75,41.25
76,41.424
77,41.742
78,41.586
79,41.612
80,41.203
81,41.744
82,41.421
83,41.47
84,41.269
85,41.457
86,41.756
87,41.403
88,41.276
89,41.73
90,41.238
91,41.295
92,41.396
93,41.728
94,41.8
95,41.444
96,41.202
97,41.796
98,41.267
99,41.543
100,41.528
101,41.396
102,41.798
103,41.466
104,41.371
105,41.745
106,41.217
107,41.347
108,41.658
109,41.756
110,41.455
111,41.428
112,41.409
113,41.53
114,41.399
115,41.498
116,41.65
117,41.302
118,41.284
119,41.575
120,41.538
121,41.289
122,41.359
123,41.455
124,41.717
125,41.327
126,41.734
127,41.518
128,41.605
129,41.414
130,41.275
131,41.741
132,41.525
133,41.387
134,41.699
135,41.526
136,41.597
137,41.498
138,41.641
139,41.555
140,41.507
141,41.228
142,41.56
143,41.643
144,41.507
145,41.555
146,41.38
147,41.288
148,41.612
149,41.548
150,41.622
151,41.287
152,41.643
153,41.355
154,41.57
155,41.471
156,41.752
157,41.507
158,41.551
159,41.642
160,41.558
161,41.67
162,41.337
163,41.653
164,41.417
165,41.25
166,41.555
167,41.423
168,41.689
169,41.653
170,41.755
171,41.409
172,41.508
173,41.372
174,41.233
175,41.524
176,41.676
177,41.2
178,41.459
179,41.21
180,41.745
181,41.502
182,41.447
183,41.517
184,41.631
185,41.68
186,41.398
187,41.549
188,41.395
189,41.677
190,41.393
191,41.495
192,41.571
193,41.27
194,41.381
195,41.613
196,41.638
197,41.284
198,41.7
199,41.702
200,41.379
201,41.385
202,41.223
203,41.508
204,41.458
205,41.432
206,41.309
207,41.477
208,41.57
209,41.661
210,41.722
211,41.766
212,41.471
213,41.441
214,41.215
215,41.611
216,41.599
217,41.43
218,41.696
219,41.655
220,41.716
221,41.443
222,41.482
223,41.672
224,41.711
225,41.755
226,41.39
227,41.581
228,41.433
229,41.374
230,41.518
231,41.565
232,41.456
233,41.435
234,41.793
235,41.207
236,41.233
237,41.422
238,41.496
239,41.289
240,41.427
241,41.222
242,41.577
243,41.717
244,41.374
245,41.386
246,41.505
247,41.52
248,41.422
249,41.482
250,41.409
251,41.427
252,41.351
253,41.572
254,41.669
255,41.608
256,41.743
257,41.393
258,41.722
259,41.712
260,41.514
261,41.403
262,41.42
263,41.442
264,41.433
265,41.454
266,41.798
267,41.756
268,41.766
269,41.23
270,41.507
271,41.685
272,41.444
273,41.637
274,41.227
275,41.339
276,41.755
277,41.621
278,41.605
279,41.379
280,41.687
