packet_id,latency_ms
1,11.53
2,11.635
3,11.362
4,11.456
5,11.604
6,11.718
7,11.445
8,11.719
9,11.489
10,11.652
11,11.399
12,11.517
13,11.31
14,11.354
15,11.381
16,11.413
17,11.529
18,11.517
19,11.567
20,11.729
21,11.56
22,11.592
23,11.603
24,11.311
25,11.726
26,11.674
27,11.519
28,11.662
29,11.27
30,11.409
31,11.713
32,11.343
33,11.627
34,11.393
35,11.216
36,11.296
37,11.301
38,11.512
39,11.482
40,11.647
41,11.778
42,11.6
43,11.608
44,11.291
45,11.653
46,11.316
47,11.405
48,11.462
49,11.277
50,11.281
51,11.326
52,11.689
53,11.484
54,11.677
55,11.335
56,11.386
57,11.421
58,11.46
59,11.433
60,11.71
61,11.458
62,11.538
63,11.68
64,11.719
65,11.738
66,11.795
67,11.219
68,11.376
69,11.223
70,11.275
71,11.58
72,11.687
73,11.779
74,11.769
75,11.736
76,11.429
77,11.388
78,11.66
79,11.557
80,11.391
81,11.221
82,11.497
83,11.743
84,11.796
85,11.363
86,11.373
87,11.463
88,11.266
89,11.692
90,11.378
91,11.258
92,11.487
93,11.384
94,11.504
95,11.616
96,11.257
97,11.563
98,11.393
99,11.642
100,11.377
101,11.439
102,11.247
103,11.477
104,11.753
105,11.68
106,11.294
107,11.525
108,11.291
109,11.581
110,11.409
111,11.711
112,11.76
113,11.767
114,11.204
115,11.509
116,11.402
117,11.383
118,11.571
119,11.652
120,11.471
121,11.36
122,11.739
123,11.382
124,11.497
125,11.651
126,11.671
127,11.411
128,11.249
129,11.356
130,11.327
131,11.43
132,11.577
133,11.683
134,11.455
135,11.317
136,11.27
137,11.508
138,11.649
139,11.511
140,11.661
141,11.744
142,11.386
143,11.671
144,11.405
145,11.545
146,11.205
147,11.344
148,11.618
149,11.586
150,11.73
151,11.539
152,11.781
153,11.449
154,11.416
155,11.663
156,11.393
157,11.212
158,11.353
159,11.671
160,11.299
161,11.254
162,11.265
163,11.483
164,11.758
165,11.293
166,11.28
167,11.654
168,11.429
169,11.405
170,11.766
171,11.649
172,11.227
173,11.562
174,11.294
175,11.648
176,11.658
177,11.241
178,11.376
179,11.757
180,11.584
181,11.685
182,11.723
183,11.337
184,11.467
185,11.665
186,11.41
187,11.649
188,11.507
189,11.427
190,11.602
191,11.683
192,11.299
193,11.72
194,11.215
195,11.402
196,11.41
197,11.341
198,11.32
199,11.682
200,11.668
201,11.59
202,11.345
203,11.441
204,11.788
205,11.634
206,11.727
207,11.581
208,11.618
209,11.454
210,11.735
211,11.577
212,11.526
213,11.438
214,11.221
215,11.611
216,11.316
217,11.308
218,11.634
219,11.344
220,11.29
221,11.599
222,11.724
223,11.551
224,11.404
225,11.414
226,11.408
227,11.799
228,11.732
229,11.485
230,11.66
231,11.785
232,11.296
233,11.713
234,11.214
235,11.598
236,11.691
237,11.357
238,11.731
239,11.324
240,11.519
241,11.421
242,11.479
243,11.535
244,11.295
245,11.225
246,11.666
247,11.435
248,11.526
249,11.403
250,11.36
251,11.23
252,11.561
253,11.718
254,11.525
255,11.527
256,11.431
257,11.478
258,11.621
259,11.206
260,11.444
261,11.274
262,11.529
263,11.24
264,11.481
265,11.566
266,11.322
267,11.458
268,11.775
269,11.548
270,11.293
271,11.326
272,11.479
273,11.368
274,11.404
275,11.619
276,11.291
277,11.56
278,11.28
279,11.678
280,11.234
281,11.645
282,11.327
283,11.515
284,11.231
285,11.305
286,11.29
287,11.556
288,11.516
289,11.533
290,11.359
291,11.35
292,11.394
293,11.571
294,11.589
295,11.586
296,11.78
297,11.318
298,11.505
299,11.46
300,11.722
301,11.679
302,11.544
303,11.556
304,11.39
305,11.456
306,11.512
307,11.705
308,11.553
309,11.286
310,11.559
311,11.5
312,11.525
313,11.591
314,11.568
315,11.788
316,11.596
317,11.436
318,11.741
319,11.542
320,11.31
321,11.25
322,11.747
323,11.486
324,11.358
325,11.6
326,11.415
327,11.395
328,11.8
329,11.442
330,11.428
331,11.66
332,11.742
333,11.68
334,11.28
335,11.472
336,11.319
337,11.587
338,11.308
339,11.289
340,11.238
341,11.524
342,11.261
343,11.661
344,11.398
345,11.553
346,11.599
347,11.695
348,11.26
349,11.204
350,11.798
351,11.56
352,11.781
353,11.528
354,11.724
355,11.218
356,11.488
357,11.363
358,11.521
359,11.253
360,11.744
361,11.405
362,11.748
363,11.274
364,11.266
365,11.486
366,11.242
367,11.431
368,11.491
369,11.529
370,11.248
371,11.415
372,11.793
373,11.412
374,11.242
375,11.79
376,11.68
377,11.51
378,11.605
379,11.332
380,11.565
381,11.797
382,11.235
383,11.65
384,11.312
385,11.666
386,11.658
387,11.408
388,11.353
389,11.611
390,11.467
391,11.609
392,11.43
393,11.296
394,11.513
395,11.748
396,11.508
397,11.416
398,11.352
399,11.723
400,11.67
401,11.486
402,11.258
403,11.48
404,11.362
405,11.279
406,11.372
407,11.77
408,11.74
409,11.231
410,11.448
411,11.226
412,11.448
413,11.65
414,11.765
415,11.557
416,11.751
417,11.375
418,11.375
419,11.712
420,11.718
421,11.699
422,11.371
423,11.78
424,11.205
425,11.767
426,11.358
427,11.586
428,11.429
429,11.755
430,11.561
431,11.561
432,11.422
433,11.524
434,11.785
435,11.33
436,11.593
437,11.604
438,11.419
439,11.26
440,11.237
441,11.735
442,11.756
443,11.217
444,11.2
445,11.552
446,11.563
447,11.641
448,11.683
449,11.519
450,11.691
451,11.422
452,11.227
453,11.38
454,11.727
455,11.738
456,11.527
457,11.461
458,11.761
459,11.285
460,11.691
461,11.372
462,11.313
463,11.4
464,11.633
465,11.538
466,11.297
467,11.455
468,11.568
469,11.726
470,11.658
471,11.224
472,11.796
473,11.255
474,11.603
475,11.246
476,11.683
477,11.559
478,11.585
479,11.793
480,11.377
481,11.216
482,11.772
483,11.481
484,11.538
485,11.581
486,11.607
487,11.584
488,11.395
489,11.292
490,11.466
491,11.648
492,11.397
493,11.722
494,11.742
495,11.459
496,11.585
497,11.232
498,11.719
499,11.453
500,11.412
501,11.347
502,11.612
503,11.787
504,11.356
505,11.753
506,11.218
507,11.25
508,11.615
509,11.744
510,11.666
511,11.423
512,11.333
513,11.206
514,11.297
515,11.53
516,11.386
517,11.707
518,11.57
519,11.28
520,11.411
521,11.338
522,11.511
523,11.295
524,11.349
